Sobota,14.12.,Lýdie,Dorůstá
Neděle,15.12.,Radana,Dorůstá
Pondělí,16.12.,Albína,Dorůstá
Úterý,17.12.,Daniel,Dorůstá
Středa,18.12.,Miloslav,Dorůstá
Čtvrtek,19.12.,Ester,Dorůstá
Pátek,20.12.,Dagmar,Dorůstá
Sobota,21.12.,Natálie,Dorůstá
Neděle,22.12.,Šimon,Dorůstá
Pondělí,23.12.,Vlasta,Dorůstá
Úterý,24.12.,Adam a Eva - Štědrý den,Úplněk - Studený Měsíc
Středa,25.12.,Boží hod - 1.svátek vánoční,Ubývá
Čtvrtek,26.12.,Štěpán - 2.svátek vánoční,Ubývá
Pátek,27.12.,Žaneta,Ubývá
Sobota,28.12.,Bohumila,Ubývá
Neděle,29.12.,Judita,Ubývá
Pondělí,30.12.,David,Ubývá
Úterý,31.12.,Silvestr,Ubývá
